"","site_id","latitude","longitude"
"1910",25025,42.223995,-71.120613
"1911",25486,45.154408,-93.449966
"1912",25366,36.130177,-86.79512
"1913",25221,36.130177,-86.79512
"1914",25427,41.913925,-87.688812
"1915",25428,41.913986,-87.683258
"1916",25430,41.914284,-87.679932
"1917",25431,41.914261,-87.677895
"1918",25432,41.914173,-87.676033
"1919",25506,30.318937,-89.937668
"1920",25434,41.914272,-87.668953
"1921",22859,39.067806,-77.349052
"1922",25556,40.777012,-74.604317
"1923",25563,46.933422,-92.138855
"1924",25568,45.140465,-93.312943
"1925",25565,43.34066,-83.164528
"1926",25600,39.143696,-86.541924
"1927",25618,36.07869,-86.909012
"1928",25213,40.478542,-75.26786
"1929",25768,39.150101,-86.522179
"1930",25802,38.721752,-94.844818
"1931",25803,40.569077,-105.067665
"1932",25829,33.888268,-98.499336
"1933",25852,35.733105,-78.853477
"1934",25869,32.673393,-93.031845
"1935",25871,43.23539,-78.48938
"1936",25886,35.608395,-82.446205
"1937",25346,40.739483,-111.850883
"1938",25891,44.317505,-74.120537
"1939",25901,30.05377,-89.880486
"1940",25921,45.49284,-122.960396
"1941",25933,38.981148,-94.816277
"1942",25951,29.785948,-90.11216
"1943",25972,39.974331,-86.093376
"1944",25968,38.863987,-77.687134
"1945",747,38.949142,-92.350006
"1946",25979,44.801182,-68.777817
"1947",25985,39.94854,-82.923477
"1948",26000,44.93681,-93.185974
"1949",26021,45.413662,-122.245659
"1950",26044,37.221527,-80.419502
"1951",26048,44.825459,-93.176857
"1952",26049,37.229572,-80.41394
"1953",26054,33.931438,-83.362183
"1954",26062,37.227722,-80.422363
"1955",26003,40.193161,-75.457993
"1956",26002,40.197044,-75.456757
"1957",26001,40.195042,-75.458603
"1958",26078,44.801182,-68.777817
"1959",26079,30.451584,-88.655518
"1960",25924,40.44619,-87.00811
"1961",25978,44.801182,-68.777817
"1962",26096,46.727238,-117.017815
"1963",26090,46.728607,-117.010956
"1964",26092,46.728394,-117.011452
"1965",26098,46.724602,-117.010643
"1966",25282,36.130177,-86.79512
"1967",26116,39.828201,-98.579498
"1968",26095,46.729176,-117.013435
"1969",26121,46.728546,-117.011482
"1970",26125,37.229572,-80.41394
"1971",26141,44.585503,-122.823578
"1972",26144,33.943562,-83.375397
"1973",17048,33.894592,-83.399818
"1974",25884,41.730396,-74.234406
"1975",26155,32.233105,-110.992485
"1976",26119,40.751404,-111.863243
"1977",25939,47.505066,-93.48896
"1978",26157,47.51226,-93.474113
"1979",26161,37.229904,-80.419548
"1980",26163,37.22905,-80.418045
"1981",26171,39.046883,-121.074799
"1982",26226,33.915577,-83.35363
"1983",26227,44.805107,-68.764549
"1984",25452,35.182804,-80.857506
"1985",25965,39.05896,-77.032875
"1986",26323,38.21846,-85.758369
"1987",26342,38.217045,-85.758598
"1988",26356,41.818851,-88.035278
"1989",26389,42.346191,-72.501717
"1990",26213,33.91547,-83.353523
"1991",26395,37.222027,-80.419853
"1992",26211,57.05069,-135.318375
"1993",26154,45.171638,-123.186058
"1994",25622,42.676373,-73.50824
"1995",22720,39.646072,-79.980118
"1996",26202,41.814045,-88.050323
"1997",26461,45.386719,-93.159935
"1998",26523,37.227188,-80.42067
"1999",26459,45.13686,-93.200142
"2000",26547,44.124378,-70.213753
"2001",26471,46.907063,-98.706169
"2002",26479,46.907063,-98.706169
"2003",26467,46.907448,-98.70649
"2004",26474,46.907352,-98.706932
"2005",26472,46.899017,-98.695633
"2006",26476,46.907063,-98.706169
"2007",26480,46.908936,-98.705399
"2008",26468,46.908928,-98.705086
"2009",26465,44.160717,-92.089828
"2010",26556,46.912083,-98.83728
"2011",26497,46.908936,-98.70549
"2012",26490,46.912083,-98.83728
"2013",26486,46.91069,-98.833809
"2014",26489,46.912083,-98.83728
"2015",26567,37.208267,-76.774094
"2016",26507,46.908943,-98.70549
"2017",26513,46.905777,-98.709106
"2018",26511,46.908939,-98.70549
"2019",26512,46.908939,-98.705482
"2020",26516,46.907207,-98.703209
"2021",26573,46.918407,-98.83831
"2022",26580,46.908901,-98.705444
"2023",26585,46.912083,-98.83728
"2024",26583,46.912083,-98.83728
"2025",26598,46.90889,-98.705482
"2026",26557,46.907581,-98.706917
"2027",26482,46.907352,-98.706932
"2028",26603,46.910545,-98.708435
"2029",26609,42.452244,-73.381676
"2030",26600,43.754974,-71.688972
"2031",26639,42.117088,-73.416267
"2032",26650,38.02552,-84.546791
"2033",26672,37.228844,-80.420448
"2034",26682,37.228481,-80.4226
"2035",26695,44.46426,-93.193382
"2036",26698,44.458473,-93.184448
"2037",26697,44.464081,-93.193634
"2038",26700,44.459164,-93.183784
"2039",26699,44.464218,-93.192322
"2040",26701,44.458771,-93.182777
"2041",26702,44.464111,-93.194763
"2042",26704,44.464081,-93.19268
"2043",26707,37.361328,-122.129036
"2044",26712,44.461948,-93.182976
"2045",26714,44.458885,-93.183464
"2046",26703,44.46418,-93.192421
"2047",26723,44.4645,-93.187645
"2048",26721,44.458687,-93.183868
"2049",26734,44.464466,-93.190643
"2050",26735,44.461948,-93.182976
"2051",26736,40.667068,-73.991501
"2052",26768,36.132896,-86.794067
"2053",26765,41.723499,-88.255875
"2054",25373,36.130177,-86.79512
"2055",26792,32.289516,-110.767548
"2056",26798,36.131435,-86.794159
"2057",26802,34.88155,-111.764336
"2058",26807,35.51749,-86.580444
"2059",26826,43.939468,-69.64299
"2060",26829,29.034407,-81.301559
"2061",26847,29.036613,-81.303291
"2062",26859,37.229877,-80.419395
"2063",26876,29.036613,-81.303291
"2064",26889,38.024223,-84.515335
"2065",26897,40.128613,-75.340515
"2066",26843,41.670635,-74.361382
"2067",26933,46.908909,-98.705505
"2068",26947,41.87994,-88.17347
"2069",26950,40.596924,-111.933159
"2070",26987,44.976757,-93.193657
"2071",27030,43.413593,-70.810211
"2072",26742,40.585384,-75.521538
"2073",27124,44.937599,-93.154739
"2074",27138,39.626614,-85.971687
"2075",27143,39.667038,-104.87365
"2076",27112,38.119434,-80.267242
"2077",27113,38.119305,-80.267723
"2078",27092,34.151802,-117.738152
"2079",27200,35.031601,-106.631004
"2080",27225,37.313549,-122.063477
"2081",27255,35.025032,-80.834541
"2082",26962,29.788452,-90.106522
"2083",27322,45.074837,-92.815727
"2084",27451,19.784311,-155.847702
"2085",27446,34.060001,-118.136002
"2086",27458,44.990273,-93.186264
"2087",27504,45.574951,-122.774399
"2088",27493,41.998386,-71.246613
"2089",27567,35.957191,-83.866592
"2090",11636,46.882423,-102.799019
"2091",27644,35.1035,-106.691711
"2092",27659,44.921204,-93.204987
"2093",27467,40.655563,-73.997101
"2094",28101,33.580002,-111.900002
"2095",28224,44.956825,-93.273628
